Work Package,COST CATEGORY,ITEMS,COST PER ITEM,BE TOTAL COSTS
WP1,SENIOR SCIENTISTS (or equivalent in the private sector),60.00,7734.23,464053.97
WP1,TECHNICAL PERSONNEL (or equivalent in the private sector),36.00,5728.74,206234.68
WP2,ADMINISTRATIVE PERSONNEL (or equivalent in the private sector),4.00,5222.91,20891.64
WP2,SENIOR SCIENTISTS (or equivalent in the private sector),32.00,7585.35,242731.04
WP2,TECHNICAL PERSONNEL (or equivalent in the private sector),12.00,5698.57,68382.89
WP3,SENIOR SCIENTISTS (or equivalent in the private sector),34.00,7733.68,262945.13
WP3,TECHNICAL PERSONNEL (or equivalent in the private sector),6.00,5983.50,35901.02
WP4,SENIOR SCIENTISTS (or equivalent in the private sector),40.00,8310.50,332419.86
WP4,TECHNICAL PERSONNEL (or equivalent in the private sector),18.00,6182.95,111293.16
WP5,ADMINISTRATIVE PERSONNEL (or equivalent in the private sector),7.00,10658.15,74607.03
WP5,SENIOR SCIENTISTS (or equivalent in the private sector),35.00,8094.49,283307.01
WP6,ADMINISTRATIVE PERSONNEL (or equivalent in the private sector),8.00,6712.29,53698.34
WP6,SENIOR SCIENTISTS (or equivalent in the private sector),8.00,8831.57,70652.60
WP7,ADMINISTRATIVE PERSONNEL (or equivalent in the private sector),9.00,7150.72,64356.48
WP7,SENIOR SCIENTISTS (or equivalent in the private sector),9.00,8471.57,76244.15
WP7,TECHNICAL PERSONNEL (or equivalent in the private sector),18.00,3772.15,67898.71
WP8,ADMINISTRATIVE PERSONNEL (or equivalent in the private sector),8.00,5353.48,42827.86
WP8,SENIOR SCIENTISTS (or equivalent in the private sector),10.00,9005.98,90059.76
WP9,SENIOR SCIENTISTS (or equivalent in the private sector),18.00,8070.59,145270.68
WP1,C.1 Travel and subsistence,Travel,32500.00,16084.07
WP1,D.3 Transnational access to research infrastructure unit costs (if mentioned as eligible in the topic specific conditions),UK Biobank Access,12000.00,12000.00
WP1,"Other (shipment, insurance, translation, etc.)","External Expert Consultations, Long-Term Data Storage, Registration, Software Licenses, Student/Research Assistant",241710.18,119621.01
WP1,Publication fees,Publication Fees,15000.00,7423.42
WP2,C.1 Travel and subsistence,Travel,32500.00,9069.00
WP2,"Other (shipment, insurance, translation, etc.)","External Expert Consultations, Long-Term Data Storage, Registration, Software Licenses, Student/Research Assistant",241710.18,67448.30
WP2,Publication fees,Publication Fees,15000.00,4185.69
WP3,C.1 Travel and subsistence,Travel,32500.00,5065.60
WP3,"Other (shipment, insurance, translation, etc.)","External Expert Consultations, Long-Term Data Storage, Registration, Software Licenses, Student/Research Assistant",241710.18,37674.09
WP3,Publication fees,Publication Fees,15000.00,2337.97
WP4,C.1 Travel and subsistence,Travel,32500.00,6177.99
WP4,"Other (shipment, insurance, translation, etc.)","External Expert Consultations, Long-Term Data Storage, Registration, Software Licenses, Student/Research Assistant",241710.18,45947.14
WP4,Publication fees,Publication Fees,15000.00,2851.38
WP5,C.1 Travel and subsistence,Travel,32500.00,360.27
WP5,"Other (shipment, insurance, translation, etc.)","External Expert Consultations, Long-Term Data Storage, Registration, Software Licenses, Student/Research Assistant",241710.18,2679.41
WP5,Publication fees,Publication Fees,15000.00,166.28
WP6,C.1 Travel and subsistence,Travel,32500.00,1485.44
WP6,"Other (shipment, insurance, translation, etc.)","External Expert Consultations, Long-Term Data Storage, Registration, Software Licenses, Student/Research Assistant",241710.18,11047.56
WP6,Publication fees,Publication Fees,15000.00,685.59
WP7,C.1 Travel and subsistence,Travel,32500.00,6768.58
WP7,"Other (shipment, insurance, translation, etc.)","External Expert Consultations, Long-Term Data Storage, Registration, Software Licenses, Student/Research Assistant",241710.18,91139.55
WP7,Publication fees,Publication Fees,15000.00,3123.96
WP8,C.1 Travel and subsistence,Travel,32500.00,2458.55
WP8,"Other (shipment, insurance, translation, etc.)","External Expert Consultations, Long-Term Data Storage, Registration, Software Licenses, Student/Research Assistant",241710.18,18284.82
WP8,Publication fees,Publication Fees,15000.00,1134.72
WP9,"Other (shipment, insurance, translation, etc.)","External Expert Consultations, Long-Term Data Storage, Registration, Software Licenses, Student/Research Assistant",241710.18,9495.02
