Work Package,COST CATEGORY,ITEMS,COST PER ITEM,BE TOTAL COSTS
WP1,A. DIRECT PERSONNEL COSTS,SENIOR SCIENTISTS (or equivalent in the private sector),~,515401.55
WP1,A. DIRECT PERSONNEL COSTS,JUNIOR SCIENTISTS (or equivalent in the private sector),~,0.00
WP1,A. DIRECT PERSONNEL COSTS,TECHNICAL PERSONNEL (or equivalent in the private sector),~,220886.38
WP1,C. DIRECT PURCHASE COSTS,C.1 Travel and subsistence,~,10386.16
WP1,C. DIRECT PURCHASE COSTS,C.3 Publication fees,~,4793.61
WP1,C. DIRECT PURCHASE COSTS,"C.3 Other (shipment, insurance, translation, etc.)",~,73949.44
WP1,TOTALS,TOTAL DIRECT COSTS,~,825417.14
WP1,TOTALS,INDIRECT COSTS,~,206354.28
WP1,TOTALS,TOTAL COSTS,~,1031771.42
WP2,A. DIRECT PERSONNEL COSTS,SENIOR SCIENTISTS (or equivalent in the private sector),~,246935.28
WP2,A. DIRECT PERSONNEL COSTS,JUNIOR SCIENTISTS (or equivalent in the private sector),~,0.00
WP2,A. DIRECT PERSONNEL COSTS,TECHNICAL PERSONNEL (or equivalent in the private sector),~,105829.40
WP2,C. DIRECT PURCHASE COSTS,C.1 Travel and subsistence,~,6985.21
WP2,C. DIRECT PURCHASE COSTS,C.3 Publication fees,~,3223.95
WP2,C. DIRECT PURCHASE COSTS,"C.3 Other (shipment, insurance, translation, etc.)",~,49734.73
WP2,TOTALS,TOTAL DIRECT COSTS,~,412708.57
WP2,TOTALS,INDIRECT COSTS,~,103177.14
WP2,TOTALS,TOTAL COSTS,~,515885.71
WP3,A. DIRECT PERSONNEL COSTS,SENIOR SCIENTISTS (or equivalent in the private sector),~,222272.34
WP3,A. DIRECT PERSONNEL COSTS,JUNIOR SCIENTISTS (or equivalent in the private sector),~,0.00
WP3,A. DIRECT PERSONNEL COSTS,TECHNICAL PERSONNEL (or equivalent in the private sector),~,95259.57
WP3,C. DIRECT PURCHASE COSTS,C.1 Travel and subsistence,~,3075.43
WP3,C. DIRECT PURCHASE COSTS,C.3 Publication fees,~,1419.43
WP3,C. DIRECT PURCHASE COSTS,"C.3 Other (shipment, insurance, translation, etc.)",~,21897.04
WP3,TOTALS,TOTAL DIRECT COSTS,~,343923.81
WP3,TOTALS,INDIRECT COSTS,~,85980.95
WP3,TOTALS,TOTAL COSTS,~,429904.76
WP4,A. DIRECT PERSONNEL COSTS,SENIOR SCIENTISTS (or equivalent in the private sector),~,338450.75
WP4,A. DIRECT PERSONNEL COSTS,JUNIOR SCIENTISTS (or equivalent in the private sector),~,0.00
WP4,A. DIRECT PERSONNEL COSTS,TECHNICAL PERSONNEL (or equivalent in the private sector),~,145050.32
WP4,C. DIRECT PURCHASE COSTS,C.1 Travel and subsistence,~,1769.90
WP4,C. DIRECT PURCHASE COSTS,C.3 Publication fees,~,816.88
WP4,C. DIRECT PURCHASE COSTS,"C.3 Other (shipment, insurance, translation, etc.)",~,12601.68
WP4,TOTALS,TOTAL DIRECT COSTS,~,498689.52
WP4,TOTALS,INDIRECT COSTS,~,124672.38
WP4,TOTALS,TOTAL COSTS,~,623361.90
WP5,A. DIRECT PERSONNEL COSTS,SENIOR SCIENTISTS (or equivalent in the private sector),~,252784.00
WP5,A. DIRECT PERSONNEL COSTS,JUNIOR SCIENTISTS (or equivalent in the private sector),~,0.00
WP5,A. DIRECT PERSONNEL COSTS,TECHNICAL PERSONNEL (or equivalent in the private sector),~,108336.00
WP5,C. DIRECT PURCHASE COSTS,C.1 Travel and subsistence,~,0.00
WP5,C. DIRECT PURCHASE COSTS,C.3 Publication fees,~,0.00
WP5,C. DIRECT PURCHASE COSTS,"C.3 Other (shipment, insurance, translation, etc.)",~,0.00
WP5,TOTALS,TOTAL DIRECT COSTS,~,361120.00
WP5,TOTALS,INDIRECT COSTS,~,90280.00
WP5,TOTALS,TOTAL COSTS,~,451400.00
WP6,A. DIRECT PERSONNEL COSTS,SENIOR SCIENTISTS (or equivalent in the private sector),~,92488.30
WP6,A. DIRECT PERSONNEL COSTS,JUNIOR SCIENTISTS (or equivalent in the private sector),~,0.00
WP6,A. DIRECT PERSONNEL COSTS,TECHNICAL PERSONNEL (or equivalent in the private sector),~,39637.84
WP6,C. DIRECT PURCHASE COSTS,C.1 Travel and subsistence,~,634.31
WP6,C. DIRECT PURCHASE COSTS,C.3 Publication fees,~,292.76
WP6,C. DIRECT PURCHASE COSTS,"C.3 Other (shipment, insurance, translation, etc.)",~,4516.30
WP6,TOTALS,TOTAL DIRECT COSTS,~,137569.52
WP6,TOTALS,INDIRECT COSTS,~,34392.38
WP6,TOTALS,TOTAL COSTS,~,171961.90
WP7,A. DIRECT PERSONNEL COSTS,SENIOR SCIENTISTS (or equivalent in the private sector),~,155075.23
WP7,A. DIRECT PERSONNEL COSTS,JUNIOR SCIENTISTS (or equivalent in the private sector),~,0.00
WP7,A. DIRECT PERSONNEL COSTS,TECHNICAL PERSONNEL (or equivalent in the private sector),~,66460.81
WP7,C. DIRECT PURCHASE COSTS,C.1 Travel and subsistence,~,10254.03
WP7,C. DIRECT PURCHASE COSTS,C.3 Publication fees,~,4732.63
WP7,C. DIRECT PURCHASE COSTS,"C.3 Other (shipment, insurance, translation, etc.)",~,73008.72
WP7,TOTALS,TOTAL DIRECT COSTS,~,309531.42
WP7,TOTALS,INDIRECT COSTS,~,77382.86
WP7,TOTALS,TOTAL COSTS,~,386914.28
WP8,A. DIRECT PERSONNEL COSTS,SENIOR SCIENTISTS (or equivalent in the private sector),~,98837.62
WP8,A. DIRECT PERSONNEL COSTS,JUNIOR SCIENTISTS (or equivalent in the private sector),~,0.00
WP8,A. DIRECT PERSONNEL COSTS,TECHNICAL PERSONNEL (or equivalent in the private sector),~,42358.98
WP8,C. DIRECT PURCHASE COSTS,C.1 Travel and subsistence,~,1581.20
WP8,C. DIRECT PURCHASE COSTS,C.3 Publication fees,~,729.78
WP8,C. DIRECT PURCHASE COSTS,"C.3 Other (shipment, insurance, translation, etc.)",~,11258.13
WP8,TOTALS,TOTAL DIRECT COSTS,~,154765.71
WP8,TOTALS,INDIRECT COSTS,~,38691.43
WP8,TOTALS,TOTAL COSTS,~,193457.14
WP9,A. DIRECT PERSONNEL COSTS,SENIOR SCIENTISTS (or equivalent in the private sector),~,108047.75
WP9,A. DIRECT PERSONNEL COSTS,JUNIOR SCIENTISTS (or equivalent in the private sector),~,0.00
WP9,A. DIRECT PERSONNEL COSTS,TECHNICAL PERSONNEL (or equivalent in the private sector),~,46306.18
WP9,C. DIRECT PURCHASE COSTS,C.1 Travel and subsistence,~,47.98
WP9,C. DIRECT PURCHASE COSTS,C.3 Publication fees,~,22.15
WP9,C. DIRECT PURCHASE COSTS,"C.3 Other (shipment, insurance, translation, etc.)",~,341.65
WP9,TOTALS,TOTAL DIRECT COSTS,~,154765.71
WP9,TOTALS,INDIRECT COSTS,~,38691.43
WP9,TOTALS,TOTAL COSTS,~,193457.14
